Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-08-06
Time ; 11:29:43

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-10
Common BaseLine ; Off
Lower Frequency Limit ; 1 Hz
Upper Frequency Limit ; 1 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10
11750 ; -5 ; 0 ; -30 ; 15 ; 0 ; -255 ; -15 ; 0 ; 10 ; 5
11875 ; -5 ; 0 ; -35 ; 15 ; 0 ; -255 ; -15 ; -5 ; 10 ; 10
12000 ; -5 ; 0 ; -35 ; 15 ; 0 ; -255 ; -15 ; 0 ; 10 ; 10
12125 ; 0 ; 0 ; -30 ; 15 ; 0 ; -255 ; -15 ; 0 ; 10 ; 10
12250 ; -5 ; 0 ; -30 ; 15 ; -5 ; -255 ; -15 ; 0 ; 10 ; 10
12375 ; -5 ; 0 ; -30 ; 15 ; 0 ; -255 ; -15 ; 0 ; 10 ; 10
12500 ; -5 ; 0 ; -30 ; 15 ; 0 ; -255 ; -15 ; 0 ; 10 ; 5
12625 ; -5 ; 0 ; -30 ; 15 ; 0 ; -255 ; -15 ; 0 ; 10 ; 5
12750 ; -5 ; 0 ; -30 ; 15 ; 0 ; -255 ; -15 ; 0 ; 10 ; 0
12875 ; -5 ; 0 ; -30 ; 20 ; 0 ; -255 ; -15 ; 0 ; 10 ; 0
13000 ; -5 ; 5 ; -30 ; 20 ; 0 ; -255 ; -15 ; 0 ; 10 ; -5
13125 ; -5 ; 5 ; -30 ; 20 ; 0 ; -250 ; -10 ; 0 ; 10 ; -5
13250 ; -5 ; 5 ; -30 ; 20 ; 0 ; -250 ; -10 ; 0 ; 10 ; -5
13375 ; -5 ; 5 ; -30 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
13500 ; -5 ; 5 ; -30 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
13625 ; -5 ; 5 ; -30 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
13750 ; -5 ; 10 ; -30 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
13875 ; -5 ; 10 ; -30 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
14000 ; -5 ; 10 ; -30 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
14125 ; -10 ; 10 ; -30 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
14250 ; -10 ; 10 ; -25 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
14375 ; -5 ; 10 ; -25 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; -5
14500 ; -10 ; 10 ; -30 ; 20 ; -5 ; -250 ; -10 ; 5 ; 10 ; -5
14625 ; -10 ; 10 ; -25 ; 20 ; 0 ; -250 ; -10 ; 5 ; 10 ; 0
14750 ; -5 ; 5 ; -25 ; 20 ; -5 ; -250 ; -10 ; 10 ; 10 ; 0
14875 ; -10 ; 5 ; -25 ; 20 ; -5 ; -250 ; -10 ; 5 ; 10 ; -5
15000 ; -10 ; 10 ; -30 ; 15 ; -5 ; -250 ; -5 ; 10 ; 10 ; 0
15125 ; -10 ; 5 ; -25 ; 20 ; -5 ; -250 ; -5 ; 5 ; 10 ; -5
15250 ; -10 ; 5 ; -25 ; 20 ; -5 ; -250 ; -5 ; 5 ; 5 ; 0
15375 ; -10 ; 5 ; -25 ; 20 ; -5 ; -250 ; -5 ; 5 ; 5 ; 0
15500 ; -10 ; 5 ; -25 ; 15 ; -5 ; -250 ; -5 ; 5 ; 5 ; 0
15625 ; -10 ; 5 ; -25 ; 20 ; -5 ; -250 ; -5 ; 5 ; 5 ; 0
15750 ; -10 ; 5 ; -25 ; 15 ; -5 ; -250 ; -5 ; 10 ; 5 ; 0
15875 ; -10 ; 5 ; -25 ; 15 ; -5 ; -245 ; -5 ; 5 ; 5 ; 0
