Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-18
Time ; 15:45:00

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-5
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5
42000 ; -5 ; 0 ; 0 ; -5 ; -10
42125 ; -5 ; -10 ; -5 ; 0 ; -10
42250 ; 5 ; -5 ; -5 ; 0 ; -5
42375 ; -5 ; 0 ; 0 ; -10 ; -10
42500 ; -5 ; -5 ; -10 ; 0 ; -10
42625 ; 5 ; -5 ; -5 ; 0 ; -5
42750 ; 0 ; 0 ; 0 ; 0 ; -10
42875 ; -5 ; 0 ; -10 ; 5 ; -10
43000 ; 0 ; -5 ; 0 ; 0 ; -10
43125 ; 0 ; 0 ; 0 ; 0 ; -10
43250 ; 0 ; 0 ; -5 ; -5 ; -10
43375 ; 0 ; -5 ; 0 ; 0 ; -5
43500 ; 5 ; 0 ; 0 ; -5 ; -5
43625 ; 0 ; 0 ; -5 ; -5 ; -5
43750 ; -5 ; -5 ; -10 ; 5 ; -5
43875 ; 0 ; 0 ; 0 ; 0 ; 0
44000 ; -5 ; 0 ; -5 ; -5 ; -5
44125 ; 0 ; 0 ; -10 ; 5 ; -5
44250 ; -5 ; -5 ; 0 ; 0 ; -5
44375 ; 0 ; -5 ; -5 ; 0 ; -5
44500 ; -5 ; -5 ; -5 ; 0 ; -10
44625 ; -5 ; -5 ; 0 ; 0 ; -5
44750 ; 5 ; 5 ; -5 ; 0 ; 5
44875 ; -5 ; 0 ; -5 ; 0 ; -5
45000 ; 0 ; -5 ; -5 ; 5 ; -5
45125 ; 5 ; 0 ; -5 ; 0 ; 5
45250 ; -5 ; -5 ; -5 ; -5 ; 0
45375 ; -5 ; -5 ; -5 ; 5 ; 0
45500 ; -5 ; -5 ; 0 ; 0 ; 0
45625 ; -5 ; -5 ; -5 ; 0 ; 0
45750 ; -5 ; 0 ; -5 ; 0 ; -5
45875 ; 0 ; 0 ; 0 ; -5 ; -5
46000 ; 0 ; 0 ; -10 ; -5 ; 0
46125 ; -5 ; -5 ; -5 ; 0 ; -5
46250 ; -5 ; -5 ; -5 ; 5 ; -5
46375 ; 0 ; 0 ; -10 ; -5 ; 0
46500 ; -10 ; -10 ; -5 ; 0 ; -5
46625 ; -5 ; 0 ; -5 ; 0 ; -5
46750 ; -5 ; 0 ; 0 ; -5 ; -5
46875 ; -5 ; -10 ; -5 ; 0 ; 0
47000 ; -5 ; 0 ; -5 ; 0 ; -5
47125 ; 0 ; 0 ; -5 ; -5 ; -10
47250 ; -5 ; 0 ; -10 ; 0 ; 0
47375 ; -5 ; -5 ; -5 ; 0 ; -5
47500 ; 0 ; 0 ; -5 ; 0 ; -5
47625 ; -5 ; 0 ; -10 ; 0 ; 5
47750 ; -10 ; -5 ; 0 ; 0 ; 0
47875 ; 0 ; 0 ; -5 ; 0 ; -5
48000 ; 0 ; 0 ; -5 ; -10 ; -5
48125 ; -10 ; -5 ; -5 ; 0 ; 0
48250 ; 0 ; 5 ; -5 ; 0 ; 0
48375 ; 0 ; 0 ; 0 ; -5 ; -5
48500 ; -5 ; 0 ; -10 ; 5 ; 5
48625 ; 0 ; 5 ; 0 ; 0 ; 0
48750 ; 0 ; 5 ; 0 ; 0 ; 0
48875 ; 0 ; -5 ; -10 ; 0 ; 5
49000 ; -5 ; -5 ; 0 ; 0 ; 0
49125 ; 0 ; 0 ; 0 ; 0 ; 0
49250 ; -5 ; 0 ; -5 ; -5 ; -5
49375 ; -10 ; -5 ; 0 ; 0 ; 0
49500 ; 0 ; 5 ; 0 ; -5 ; 0
49625 ; -5 ; -5 ; -5 ; -5 ; -5
49750 ; -5 ; -5 ; -10 ; 0 ; 0
49875 ; 5 ; 5 ; 0 ; -5 ; 0
